dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
Prostate_GE,96.05,95.1,96.14,95.05,97.0,95.05,95.1,96.05,94.14,96.05,97.05,94.19,95.05,95.14,96.1,97.05,95.1,94.14,96.05,95.1,95.05,95.1,95.05,95.05,96.05,95.1,94.19,95.05,95.05,96.05,95.1,96.05,96.05,96.0,96.05,97.0,96.0
RELATHE,80.58999999999999,80.58999999999999,77.57,64.4,75.75,74.28,77.42999999999999,74.91,76.17,76.94,76.94,76.1,77.57,75.33,77.64,75.89,75.75,77.22,74.07000000000001,75.05,64.47,72.46000000000001,70.28999999999999,76.59,74.98,77.08,76.59,77.78,78.27,80.10000000000001,78.69,79.75,79.47,80.31,80.73,80.52,80.03
SMK_CAN_187,66.83,67.91,66.36,70.1,72.23,68.47999999999999,72.16,71.66,71.15,69.53,66.86,71.14,70.65,68.45,66.3,69.6,67.94,66.34,68.45,68.44,71.65,73.77,73.76,72.76,73.77,72.76,73.78,72.76,72.76,72.72999999999999,72.76,73.29,72.72999999999999,72.2,72.72999999999999,72.2,72.2
TOX_171,66.64,67.21000000000001,73.63,66.64,67.86999999999999,65.53,70.78999999999999,68.37,74.29,69.56,68.5,72.55,71.89999999999999,67.88,72.54,68.97,67.19000000000001,66.71000000000001,64.96,67.85,63.74999999999999,63.13999999999999,62.55,62.55,68.37,67.86999999999999,65.53,64.87,63.66,62.61,63.190000000000005,64.27000000000001,64.32,63.09,61.970000000000006,62.029999999999994,64.34
USPS,88.48,92.82,93.51,77.37,93.36,92.17,93.82,93.6,93.54,93.98,93.71,93.8,93.73,93.62,93.63,93.61,93.41,93.51,93.14,93.16,81.14,93.04,91.42,93.46,93.25,93.36,93.55,93.36,93.49,93.16,93.36,92.9,93.16,92.71,92.85,92.45,93.1
Yale,78.18,80.61,77.58,75.14999999999999,81.21000000000001,80.0,81.21000000000001,78.79,81.21000000000001,78.79,80.61,76.97,75.76,76.97,79.39,75.76,75.14999999999999,73.94,76.36,73.33,72.11999999999999,70.91,70.3,69.69999999999999,70.3,69.69999999999999,70.3,69.08999999999999,68.47999999999999,65.45,64.85,65.45,65.45,61.82,64.85,60.0,61.82
arcene,84.5,79.5,67.0,83.0,89.5,86.0,88.5,87.5,88.5,88.0,86.5,87.0,86.5,87.5,83.5,85.5,85.5,84.0,83.5,84.5,83.5,86.0,85.5,87.5,84.5,88.0,86.0,86.5,85.5,86.0,87.0,86.0,87.5,84.0,85.5,84.5,84.0
colon,91.92,88.59,85.50999999999999,91.79,90.13,91.79,95.0,90.26,88.59,91.79,87.18,91.92,87.18,90.38,88.59,88.72,85.50999999999999,87.05000000000001,87.05000000000001,90.26,90.0,88.59,88.59,87.05000000000001,88.59,88.85,85.38,88.59,86.79,83.97,85.26,85.38,86.79,87.05000000000001,85.38,83.97,85.38
gisette,93.79,94.86,-,87.6,92.33,91.1,93.34,93.1,93.89,92.77,94.01,94.46,93.91,93.99,94.49,94.23,94.21,94.43,94.71,94.14,86.66,92.97,91.2,93.7,93.56,93.84,93.79,94.2,94.54,94.4,94.31,94.51,94.5,94.56,94.61,94.73,94.63
leukemia,98.67,98.67,97.24,98.67,100.0,98.67,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,98.67,98.67,100.0,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67
lung,95.06,96.04,96.05,94.59,96.07,95.57,95.56,95.07,95.56,95.07,94.57,95.11,94.55,93.6,95.07,95.1,95.07,94.07,93.6,95.55,95.07,94.59,96.56,94.61,95.09,95.1,96.05,95.09,95.1,95.1,95.57,94.12,94.1,94.56,94.6,93.6,94.57
lung_discrete,87.62,90.38,83.52000000000001,75.33,83.71,86.38,86.38,86.29,86.19,87.62,83.52000000000001,86.29,83.52000000000001,82.1,84.95,83.52000000000001,82.28999999999999,84.76,82.1,86.19,73.52,79.52,80.57,75.33,80.86,78.0,80.95,79.62,80.76,78.0,77.9,80.95,76.75999999999999,75.42999999999999,78.0,78.0,76.86
lymphoma,93.79,92.74,88.58,87.68,91.68,93.74,90.68,90.79,92.79,91.79,89.47,89.63,88.53,90.63,88.58,89.63,89.53,87.74,88.58,90.63,88.63,91.79,93.84,89.74,91.79,89.68,88.58,86.53,86.58,87.53,83.47,84.37,86.53,86.63,84.42,85.47,85.53
madelon,62.150000000000006,61.88,61.919999999999995,62.19,62.35000000000001,62.19,62.03999999999999,62.12,62.150000000000006,62.150000000000006,62.0,62.19,61.96,61.809999999999995,62.35000000000001,62.19,62.19,62.0,62.03999999999999,61.77,62.03999999999999,61.96,62.03999999999999,61.62,61.62,61.62,61.62,61.309999999999995,61.46,61.58,61.58,61.53999999999999,61.53999999999999,61.53999999999999,61.53999999999999,61.35,61.53999999999999
nci9,38.33,40.0,35.0,48.33,51.67,51.67,60.0,56.67,56.67,60.0,56.67,65.0,56.67,50.0,55.00000000000001,53.33,51.67,53.33,58.330000000000005,50.0,45.0,58.330000000000005,58.330000000000005,61.67,60.0,61.67,63.33,58.330000000000005,66.67,58.330000000000005,61.67,55.00000000000001,61.67,60.0,56.67,55.00000000000001,51.67
orlraws10P,76.0,96.0,96.0,91.0,98.0,99.0,98.0,98.0,98.0,99.0,98.0,100.0,98.0,98.0,96.0,96.0,95.0,95.0,97.0,94.0,86.0,95.0,94.0,94.0,94.0,94.0,92.0,92.0,91.0,88.0,91.0,91.0,89.0,88.0,90.0,91.0,91.0
pixraw10P,90.0,99.0,97.0,97.0,99.0,98.0,99.0,99.0,100.0,99.0,99.0,97.0,98.0,97.0,98.0,97.0,99.0,97.0,96.0,97.0,96.0,92.0,94.0,94.0,92.0,91.0,92.0,90.0,92.0,88.0,89.0,88.0,90.0,87.0,87.0,87.0,86.0
warpAR10P,90.77,92.31,90.77,90.0,94.62,92.31,92.31,92.31,94.62,93.08,92.31,90.77,93.85,93.08,91.54,93.08,90.0,93.08,90.77,90.77,86.92,83.85000000000001,87.69,81.54,85.38,82.31,80.77,82.31,80.77,80.0,78.46,76.14999999999999,77.69,76.92,74.62,72.31,74.62
warpPIE10P,97.14,99.05,100.0,94.29,98.57,98.1,99.05,99.05,99.05,99.05,99.05,99.05,99.52,99.05,99.05,99.52,99.05,99.05,99.52,99.52,95.24,98.57,98.1,99.05,98.57,98.57,98.1,98.57,99.05,99.05,99.52,99.52,99.52,99.05,99.52,99.52,99.05
